idx,fname,fname_original,category
0,images/train/00181.png,004.Groove_billed_Ani/Groove_Billed_Ani_0033_1494.jpg,4
1,images/train/00182.png,004.Groove_billed_Ani/Groove_Billed_Ani_0069_1546.jpg,4
2,images/train/00184.png,004.Groove_billed_Ani/Groove_Billed_Ani_0071_1559.jpg,4
3,images/train/00187.png,004.Groove_billed_Ani/Groove_Billed_Ani_0105_1562.jpg,4
4,images/train/00188.png,004.Groove_billed_Ani/Groove_Billed_Ani_0090_1567.jpg,4
5,images/train/00189.png,004.Groove_billed_Ani/Groove_Billed_Ani_0019_1585.jpg,4
6,images/train/00194.png,004.Groove_billed_Ani/Groove_Billed_Ani_0036_1604.jpg,4
7,images/train/00195.png,004.Groove_billed_Ani/Groove_Billed_Ani_0085_1612.jpg,4
8,images/train/00196.png,004.Groove_billed_Ani/Groove_Billed_Ani_0018_1613.jpg,4
9,images/train/00197.png,004.Groove_billed_Ani/Groove_Billed_Ani_0007_1615.jpg,4
10,images/train/00202.png,004.Groove_billed_Ani/Groove_Billed_Ani_0051_1650.jpg,4
11,images/train/00203.png,004.Groove_billed_Ani/Groove_Billed_Ani_0015_1653.jpg,4
12,images/train/00204.png,004.Groove_billed_Ani/Groove_Billed_Ani_0076_1661.jpg,4
13,images/train/00206.png,004.Groove_billed_Ani/Groove_Billed_Ani_0002_1670.jpg,4
14,images/train/00209.png,004.Groove_billed_Ani/Groove_Billed_Ani_0072_1696.jpg,4
15,images/train/00213.png,004.Groove_billed_Ani/Groove_Billed_Ani_0047_1706.jpg,4
16,images/train/00215.png,004.Groove_billed_Ani/Groove_Billed_Ani_0077_1724.jpg,4
17,images/train/00216.png,004.Groove_billed_Ani/Groove_Billed_Ani_0091_1728.jpg,4
18,images/train/00218.png,004.Groove_billed_Ani/Groove_Billed_Ani_0044_1731.jpg,4
19,images/train/00220.png,004.Groove_billed_Ani/Groove_Billed_Ani_0023_1485.jpg,4
20,images/train/00221.png,004.Groove_billed_Ani/Groove_Billed_Ani_0004_1528.jpg,4
21,images/train/00222.png,004.Groove_billed_Ani/Groove_Billed_Ani_0056_1493.jpg,4
22,images/train/00224.png,004.Groove_billed_Ani/Groove_Billed_Ani_0058_1751.jpg,4
23,images/train/00225.png,004.Groove_billed_Ani/Groove_Billed_Ani_0027_1754.jpg,4
24,images/train/00227.png,004.Groove_billed_Ani/Groove_Billed_Ani_0055_1501.jpg,4
25,images/train/00228.png,004.Groove_billed_Ani/Groove_Billed_Ani_0065_1502.jpg,4
26,images/train/00230.png,004.Groove_billed_Ani/Groove_Billed_Ani_0006_1763.jpg,4
27,images/train/00232.png,004.Groove_billed_Ani/Groove_Billed_Ani_0061_1510.jpg,4
28,images/train/00235.png,004.Groove_billed_Ani/Groove_Billed_Ani_0032_1776.jpg,4
29,images/train/00238.png,004.Groove_billed_Ani/Groove_Billed_Ani_0012_1784.jpg,4
30,images/train/00426.png,009.Brewer_Blackbird/Brewer_Blackbird_0139_2567.jpg,9
31,images/train/00427.png,009.Brewer_Blackbird/Brewer_Blackbird_0140_2586.jpg,9
32,images/train/00428.png,009.Brewer_Blackbird/Brewer_Blackbird_0082_2593.jpg,9
33,images/train/00429.png,009.Brewer_Blackbird/Brewer_Blackbird_0135_2607.jpg,9
34,images/train/00431.png,009.Brewer_Blackbird/Brewer_Blackbird_0095_2610.jpg,9
35,images/train/00432.png,009.Brewer_Blackbird/Brewer_Blackbird_0035_2611.jpg,9
36,images/train/00433.png,009.Brewer_Blackbird/Brewer_Blackbird_0111_2613.jpg,9
37,images/train/00436.png,009.Brewer_Blackbird/Brewer_Blackbird_0087_2622.jpg,9
38,images/train/00437.png,009.Brewer_Blackbird/Brewer_Blackbird_0026_2625.jpg,9
39,images/train/00441.png,009.Brewer_Blackbird/Brewer_Blackbird_0142_2636.jpg,9
40,images/train/00444.png,009.Brewer_Blackbird/Brewer_Blackbird_0078_2659.jpg,9
41,images/train/00446.png,009.Brewer_Blackbird/Brewer_Blackbird_0014_2679.jpg,9
42,images/train/00452.png,009.Brewer_Blackbird/Brewer_Blackbird_0032_2214.jpg,9
43,images/train/00456.png,009.Brewer_Blackbird/Brewer_Blackbird_0109_2232.jpg,9
44,images/train/00460.png,009.Brewer_Blackbird/Brewer_Blackbird_0018_2261.jpg,9
45,images/train/00461.png,009.Brewer_Blackbird/Brewer_Blackbird_0030_2268.jpg,9
46,images/train/00464.png,009.Brewer_Blackbird/Brewer_Blackbird_0103_2273.jpg,9
47,images/train/00465.png,009.Brewer_Blackbird/Brewer_Blackbird_0074_2277.jpg,9
48,images/train/00466.png,009.Brewer_Blackbird/Brewer_Blackbird_0002_2278.jpg,9
49,images/train/00467.png,009.Brewer_Blackbird/Brewer_Blackbird_0115_2279.jpg,9
50,images/train/00469.png,009.Brewer_Blackbird/Brewer_Blackbird_0131_2289.jpg,9
51,images/train/00470.png,009.Brewer_Blackbird/Brewer_Blackbird_0064_2290.jpg,9
52,images/train/00471.png,009.Brewer_Blackbird/Brewer_Blackbird_0132_2293.jpg,9
53,images/train/00474.png,009.Brewer_Blackbird/Brewer_Blackbird_0045_2303.jpg,9
54,images/train/00476.png,009.Brewer_Blackbird/Brewer_Blackbird_0097_2322.jpg,9
55,images/train/00477.png,009.Brewer_Blackbird/Brewer_Blackbird_0133_2324.jpg,9
56,images/train/00478.png,009.Brewer_Blackbird/Brewer_Blackbird_0070_2325.jpg,9
57,images/train/00479.png,009.Brewer_Blackbird/Brewer_Blackbird_0116_2327.jpg,9
58,images/train/00481.png,009.Brewer_Blackbird/Brewer_Blackbird_0112_2340.jpg,9
59,images/train/00482.png,009.Brewer_Blackbird/Brewer_Blackbird_0079_2343.jpg,9
60,images/train/00484.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0091_4096.jpg,10
61,images/train/00485.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0059_4612.jpg,10
62,images/train/00486.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0054_4625.jpg,10
63,images/train/00489.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0079_4527.jpg,10
64,images/train/00490.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0075_4953.jpg,10
65,images/train/00491.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0005_5636.jpg,10
66,images/train/00495.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0049_5598.jpg,10
67,images/train/00496.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0023_5257.jpg,10
68,images/train/00497.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0093_5948.jpg,10
69,images/train/00500.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0060_4688.jpg,10
70,images/train/00502.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0061_4196.jpg,10
71,images/train/00504.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0101_6244.jpg,10
72,images/train/00505.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0028_4709.jpg,10
73,images/train/00507.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0001_3695.jpg,10
74,images/train/00511.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0012_6015.jpg,10
75,images/train/00515.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0046_4242.jpg,10
76,images/train/00518.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0032_4004.jpg,10
77,images/train/00520.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0040_4522.jpg,10
78,images/train/00523.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0014_3761.jpg,10
79,images/train/00524.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0021_3767.jpg,10
80,images/train/00527.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0081_6081.jpg,10
81,images/train/00529.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0052_5575.jpg,10
82,images/train/00530.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0096_5019.jpg,10
83,images/train/00531.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0066_5070.jpg,10
84,images/train/00533.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0020_4050.jpg,10
85,images/train/00535.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0085_5846.jpg,10
86,images/train/00537.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0025_5342.jpg,10
87,images/train/00539.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0105_4842.jpg,10
88,images/train/00541.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0044_5621.jpg,10
89,images/train/00542.png,010.Red_winged_Blackbird/Red_Winged_Blackbird_0055_4345.jpg,10
90,images/train/00544.png,011.Rusty_Blackbird/Rusty_Blackbird_0086_6658.jpg,11
91,images/train/00545.png,011.Rusty_Blackbird/Rusty_Blackbird_0113_6664.jpg,11
92,images/train/00547.png,011.Rusty_Blackbird/Rusty_Blackbird_0054_6676.jpg,11
93,images/train/00549.png,011.Rusty_Blackbird/Rusty_Blackbird_0016_6684.jpg,11
94,images/train/00552.png,011.Rusty_Blackbird/Rusty_Blackbird_0091_6695.jpg,11
95,images/train/00554.png,011.Rusty_Blackbird/Rusty_Blackbird_0031_6699.jpg,11
96,images/train/00555.png,011.Rusty_Blackbird/Rusty_Blackbird_0019_6704.jpg,11
97,images/train/00557.png,011.Rusty_Blackbird/Rusty_Blackbird_0085_6713.jpg,11
98,images/train/00559.png,011.Rusty_Blackbird/Rusty_Blackbird_0076_6716.jpg,11
99,images/train/00561.png,011.Rusty_Blackbird/Rusty_Blackbird_0087_6727.jpg,11
100,images/train/00562.png,011.Rusty_Blackbird/Rusty_Blackbird_0122_6736.jpg,11
101,images/train/00564.png,011.Rusty_Blackbird/Rusty_Blackbird_0073_6744.jpg,11
102,images/train/00566.png,011.Rusty_Blackbird/Rusty_Blackbird_0023_6752.jpg,11
103,images/train/00568.png,011.Rusty_Blackbird/Rusty_Blackbird_0017_6755.jpg,11
104,images/train/00570.png,011.Rusty_Blackbird/Rusty_Blackbird_0114_6760.jpg,11
105,images/train/00574.png,011.Rusty_Blackbird/Rusty_Blackbird_0011_7028.jpg,11
106,images/train/00575.png,011.Rusty_Blackbird/Rusty_Blackbird_0102_6590.jpg,11
107,images/train/00576.png,011.Rusty_Blackbird/Rusty_Blackbird_0006_6633.jpg,11
108,images/train/00577.png,011.Rusty_Blackbird/Rusty_Blackbird_0001_6548.jpg,11
